OBJECTID,MUNI_ID,MMSD_OWNER,MUNI_FEATURE_TYPE,RIM_ELEV,SIZE,STATUS,MUNI_OWNER,MMSD_FEATURE,YEAR_RECEIVED,NOTES,X_COORD,Y_COORD
301, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511386.971,436452.9728
302, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511380.169,436646.7753
303, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511424.632,436620.1972
304, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511411.448,437042.5773
305, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511418.825,436796.2268
306, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511366.728,437041.4353
307, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511375.524,436802.108
308, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2510780.721,436913.1347
309, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2510821.789,436927.2967
310, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2510928.467,436380.7925
311, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2510897.066,436704.5245
312, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2510856.268,436692.2831
313, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2512854.557,436587.3525
314, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2510885.29,436379.9307
315, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511935.655,436211.5107
316, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511926.861,436190.4183
317, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511714.717,436156.2267
318, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511620.778,436085.9329
319, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511402.292,436130.502
320, ,BD,CB,0, ,Active, ,StormStructure,2015, ,2511375.649,436144.7363
